numtasks = 2
rank 0: from 1 to 51
numtasks = 2
rank 1: from 52 to 101
process 1 error 0.7282059195 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7209136316 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7136948185 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.7065489341 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6994754206 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6924737095 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6855633032 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6787729264 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6720500772 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6653942318 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6588048589 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6522814205 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6458233729 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6394301672 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6331012504 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6268360656 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6206340531 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6145106847 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6084854868 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.6025199218 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5966134777 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5907656405 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5849758947 global error 0.9691402739 
process 1 error 0.5792437240 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5735686112 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5679500392 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5623874907 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5568804491 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5514283985 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5460308238 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5406979528 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5354453269 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5302443362 global error 0.9691402739 
process 1 error 0.5250945092 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5199953759 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5149464676 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5099473171 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5049974589 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.5000964295 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4952437675 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4904390137 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4856817112 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4809714055 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4763076450 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4716899805 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4671179657 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4625995352 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4581427180 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4537293642 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4493590635 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4450314078 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4407459918 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4365024130 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4323002714 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4281391699 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4240187142 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4199385127 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4158981770 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4118973215 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4079355635 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4040125235 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.4001278249 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3962810942 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3924719609 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3887000576 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3849650202 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3812664873 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3776148827 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3740033027 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3704266505 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3668845914 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3633767935 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3599029273 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3564626666 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3530556875 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3496816692 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3463402935 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3430312451 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3397542113 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3365088824 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3332949512 global error 0.9691402739 
process 0 error 0.9691402739 global error 0.9691402739 
process 1 error 0.3301121135 global error 0.9691402739 
